d_norm,N,"B/bp, Seq, H/tp*D",1,,,T,,,,,,,,,
d_res,N,"B/bp, Seq, H/tp*D",1,d_norm,,E,10,"B/bp, Seq, H/tp*D",1,,,"B/bp, Seq, H/tp*D",,,B/bp*Seq*H/tp*D*10
d_x2,N,"B/bp, Seq, H*D",1,d_res,,E,1,"B/bp, Seq, H/tp*D",1,,,"B/bp, Seq, H/tp*D",,AllGather@B/bp*Seq*H/tp*D,B/bp*Seq*H/tp*D
d_w2,N,"H/tp*DF, H*D",1,d_x2,x1,M,"bse,bsd->de","B/bp, Seq, H*D",1,"B/bp, Seq, H/tp*DF",1,"H/tp*DF, H*D","B/bp, Seq",AllReduce@H/tp*DF*H*D,H/tp*DF*H*D*B/bp*Seq
d_x1,N,"B/bp, Seq, H/tp*DF",1,d_x2,w2,M,"bse,de->bsd","B/bp, Seq, H*D",1,"H/tp*DF, H*D",1,"B/bp, Seq, H/tp*DF",H*D,,B/bp*Seq*H/tp*DF*H*D
d_w1,N,"H*D, H/tp*DF",1,d_x1,x0,M,"bse,bsd->de","B/bp, Seq, H/tp*DF",1,"B/bp, Seq, H*D",1,"H*D, H/tp*DF","B/bp, Seq",AllReduce@H*D*H/tp*DF,H*D*H/tp*DF*B/bp*Seq
d_x0_whole,N,"B/bp, Seq, H*D",1,d_x1,w1,M,"bse,de->bsd","B/bp, Seq, H/tp*DF",1,"H*D, H/tp*DF",1,"B/bp, Seq, H*D",H/tp*DF,AllReduce@B/bp*Seq*H*D,B/bp*Seq*H*D*H/tp*DF
d_x00,N,"B/bp, Seq, H/tp*D",1,d_x0_whole,,C,Scatter@B/bp*Seq*H*D,"B/bp, Seq, H*D",1,,,,,,
d_x01,N,"B/bp, Seq, H/tp*D",1,d_res,,E,1,"B/bp, Seq, H/tp*D",1,,,"B/bp, Seq, H/tp*D",1,,B/bp*Seq*H/tp*D
d_x0,N,"B/bp, Seq, H/tp*D",1,d_x00,d_x01,A,,"B/bp, Seq, H/tp*D",1,"B/bp, Seq, H/tp*D",1,"B/bp, Seq, H/tp*D",1,,B/bp*Seq*H/tp*D
